Timestamp, FrameID, RTT(us)
1766398805.625676, 248040, 721244
1766398805.689351, 248930, 718525
1766398805.717185, 249604, 694316
1766398805.725252, 249995, 686952
1766398805.726088, 249363, 721968
1766398805.800587, 250870, 713147
1766398805.807148, 250892, 701460
1766398805.819175, 251643, 681527
1766398805.839338, 252751, 618529
1766398805.846754, 252330, 657844
1766398805.852051, 252462, 647285
1766398805.852125, 253153, 614685
1766398805.852144, 253212, 595915
1766398805.854707, 252080, 682960
1766398805.854738, 254372, 532804
1766398805.854750, 254027, 549209
1766398805.870496, 253561, 599070
1766398805.875582, 254846, 522436
1766398805.875619, 254649, 538943
1766398805.880098, 256950, 392160
1766398805.880130, 255029, 510558
1766398805.882687, 253803, 594996
1766398805.882725, 255321, 495954
1766398805.882743, 256084, 446651
1766398805.882759, 257392, 362003
1766398805.884389, 255773, 461634
1766398805.887673, 256288, 433079
1766398805.887701, 255533, 483333
1766398805.887705, 257723, 350725
1766398805.895970, 257166, 392241
1766398805.896029, 256605, 426251
1766398805.920934, 257817, 366219
1766398805.926045, 258050, 355115
1766398805.927387, 258525, 339654
1766398805.957591, 258575, 353846
1766398805.962953, 258831, 342289
1766398805.975330, 259187, 336638
1766398805.990390, 259616, 319677
1766398805.992859, 259339, 338537
1766398806.022338, 260277, 317028
1766398806.022379, 259876, 333228
1766398806.042208, 260431, 318660
1766398806.057360, 260723, 319205
1766398806.057398, 261014, 303046
1766398806.067626, 261227, 297059
1766398806.101849, 261633, 296598
1766398806.109372, 261612, 321360
1766398806.126647, 262071, 305646
1766398806.141395, 262288, 302613
1766398806.148862, 262709, 276365
1766398806.158185, 262586, 304650
1766398806.161751, 263109, 273196
1766398806.176944, 263187, 273470
1766398806.205877, 263522, 284751
1766398806.221051, 263906, 283605
1766398806.221089, 264039, 265778
1766398806.246135, 264323, 276039
1766398806.261456, 264511, 274427
1766398806.276084, 264977, 256359
1766398806.294120, 264734, 289144
1766398806.313436, 265391, 277459
1766398806.319014, 265689, 267639
1766398806.351872, 265771, 281468
1766398806.354868, 266162, 269302
1766398806.373391, 266422, 271334
1766398806.384490, 266945, 248315
1766398806.384529, 266554, 266092
1766398806.416424, 267049, 264129
1766398806.430835, 267333, 262362
1766398806.439711, 267745, 253836
1766398806.461425, 268282, 242045
1766398806.473679, 267853, 271593
1766398806.473718, 268336, 238188
1766398806.492916, 268736, 241407
1766398806.528851, 268945, 259327
1766398806.554087, 269484, 251546
1766398806.556546, 269212, 271193
1766398806.585348, 269714, 267021
1766398806.589900, 269907, 254986
1766398806.605792, 270140, 252840
1766398806.608390, 270413, 238874
1766398806.629228, 270728, 243176
1766398806.642192, 270849, 240601
1766398806.655254, 271200, 234948
1766398806.656739, 271594, 220693
1766398806.668620, 272072, 200477
1766398806.691179, 271843, 238839
1766398806.693669, 272237, 207421
1766398806.696547, 272418, 194913
1766398806.718415, 272870, 199285
1766398806.739202, 273023, 203333
1766398806.749386, 273362, 197084
1766398806.777669, 273599, 208246
1766398806.785201, 274293, 165057
1766398806.785236, 273834, 198468
1766398806.803196, 274052, 199507
